,Repository,Forks,avg_grade,Correlation
203,firefly-ice-electronics,1,0.007025103034844511,-0.07007988161557654
204,bf,1,0.009465478841870824,-0.07007988161557654
205,nu-postgresql,5,0.020676691729323307,-0.07007988161557654
206,motionsplan_exercise_program,0,0.013029315960912053,-0.07007988161557654
207,neptune,2,0.02340752110514198,-0.07007988161557654
208,GoogleCharts.jl,7,0.04247104247104247,-0.07007988161557654
209,vhdlstuff,4,0.5813008130081301,-0.07007988161557654
210,MobiWare,2,0.059495665878644605,-0.07007988161557654
211,SCSocket,0,0.06,-0.07007988161557654
212,benchmarks_kt,1,0.29955527318932657,-0.07007988161557654
213,meta-linaro,1,0.008583690987124463,-0.07007988161557654
214,io-stuff,0,0.4263565891472868,-0.07007988161557654
215,the-wiki,2,0.0076968620485494375,-0.07007988161557654
216,tarbz2.com,1,0.009014423076923076,-0.07007988161557654
217,autotrace,0,0.012578616352201259,-0.07007988161557654
218,ns2-tcp-performance,5,,-0.07007988161557654
219,webdev-env,0,0.0033277870216306157,-0.07007988161557654
220,hygdrop,6,0.029471544715447155,-0.07007988161557654
221,tictactoe,0,0.008130081300813009,-0.07007988161557654
222,aoSpider,0,0.004176748473326421,-0.07007988161557654
223,PowerSystems,32,0.029455081001472753,-0.07007988161557654
224,rhawk,1,0.02659574468085106,-0.07007988161557654
225,TradingSystem.jl,2,0.1728395061728395,-0.07007988161557654
226,Get2Search,1,0.5,-0.07007988161557654
227,SearchProviders,0,0.13559322033898305,-0.07007988161557654
228,playground-factor,4,0.09294117647058824,-0.07007988161557654
229,rssReader,0,0.00010546926946481224,-0.07007988161557654
230,autohotkey-obfuscator,24,0.008325136995925249,-0.07007988161557654
231,cf-primer,6,0.016216216216216217,-0.07007988161557654
232,decimex,3,0.05555555555555555,-0.07007988161557654
233,cleboundaries,1,0.0005186081544958388,-0.07007988161557654
234,BangYourHead,9,0.001989925401830347,-0.07007988161557654
235,StoreConnect,1,0.001176239952950402,-0.07007988161557654
236,wolfhbot,4,0.0012380210005043788,-0.07007988161557654
237,Bitcoin-24-Apps-Script,0,0.056074766355140186,-0.07007988161557654
238,Web-App-Ballet,4,0.015151515151515152,-0.07007988161557654
239,opa-reactive-demos,1,0.03821196827685652,-0.07007988161557654
240,applescripts,8,0.019402985074626865,-0.07007988161557654
241,raingcal,0,1.0,-0.07007988161557654
242,Addons_Recent_Updates,2,0.07692307692307693,-0.07007988161557654
243,gobot,1,0.21000000000000002,-0.07007988161557654
244,conserve,14,0.01540755467196819,-0.07007988161557654
245,CAVEAT,0,0.8503937007874016,-0.07007988161557654
246,ml-skos,0,0.0005308946431017948,-0.07007988161557654
247,PersistentAda,2,0.5,-0.07007988161557654
248,programming-in-livescript,0,0.059701492537313425,-0.07007988161557654
249,Prime_Numbers,0,0.04197080291970803,-0.07007988161557654
250,ludum-dare-26,0,0.09838709677419355,-0.07007988161557654
251,microelec,2,0.006535360648434244,-0.07007988161557654
252,margarita,9,0.01600985221674877,-0.07007988161557654
253,configs,0,0.08125,-0.07007988161557654
254,pharo-ci,2,0.07857142857142857,-0.07007988161557654
255,policyman,0,0.05464006938421509,-0.07007988161557654
256,gervaise_quart_livre_de_danceries,1,0.0027495364153718267,-0.07007988161557654
257,vhdl,0,0.06904109589041096,-0.07007988161557654
258,Hover_the_Brainbow,2,0.006502890173410405,-0.07007988161557654
259,dartlang-bzip2,1,0.1024390243902439,-0.07007988161557654
260,forth-cpu,21,0.027662818558048356,-0.07007988161557654
261,openscad,4,0.002645002833931608,-0.07007988161557654
262,avalanche,3,0.05363036303630363,-0.07007988161557654
263,BreakoutBoards,0,0.22064748121594174,-0.07007988161557654
264,iPython_Notebook,1,0.0007653763048645908,-0.07007988161557654
265,tkhostman,0,0.008350730688935281,-0.07007988161557654
